dt,,press
"2016, 6, 28",,101217.7604
"2016, 6, 28",,101218.3601
"2016, 6, 28",,101190.9583
"2016, 6, 28",,101128.8234
"2016, 6, 28",,101137.6265
"2016, 6, 28",,101148.6149
"2016, 6, 29",,101126.7182
"2016, 6, 29",,101144.205
"2016, 6, 29",,101189.1483
"2016, 6, 29",,101219.1493
"2016, 6, 29",,101238.0405
"2016, 6, 29",,101232.2018
"2016, 6, 29",,101205.5476
"2016, 6, 29",,101191.9993
"2016, 6, 29",,101139.3653
"2016, 6, 29",,101110.0632
"2016, 6, 29",,101133.2857
"2016, 6, 29",,101157.655
"2016, 6, 29",,101228.7888
"2016, 6, 29",,101294.4022
"2016, 6, 29",,101343.2666
"2016, 6, 29",,101351.0269
"2016, 6, 29",,101359.8524
"2016, 6, 29",,101377.475
"2016, 6, 29",,101401.1819
"2016, 6, 29",,101437.1457
"2016, 6, 29",,101492.2168
"2016, 6, 30",,101556.7928
"2016, 6, 30",,101586.8088
"2016, 6, 30",,101598.8566
"2016, 6, 30",,101605.3862
"2016, 6, 30",,101626.1184
"2016, 6, 30",,101618.2379
"2016, 6, 30",,101602.4482
"2016, 6, 30",,101571.4384
"2016, 6, 30",,101524.6042
"2016, 6, 30",,101491.7398
"2016, 6, 30",,101450.7137
"2016, 6, 30",,101473.007
"2016, 6, 30",,101493.0482
"2016, 6, 30",,101504.6544
"2016, 6, 30",,101512.1556
"2016, 6, 30",,101546.69
"2016, 6, 30",,101592.4928
"2016, 6, 30",,101582.7334
"2016, 6, 30",,101590.795
"2016, 6, 30",,101622.5399
"2016, 6, 30",,101589.9437
"2016, 6, 30",,101558.3509
"2016, 6, 30",,101565.1363
"2016, 6, 30",,101559.6427
"2016, 7, 1",,101579.5108
"2016, 7, 1",,101583.8198
"2016, 7, 1",,101564.5045
"2016, 7, 1",,101541.5467
"2016, 7, 1",,101485.4342
"2016, 7, 1",,101464.602
"2016, 7, 1",,101422.9133
"2016, 7, 1",,101379.9543
"2016, 7, 1",,101309.7517
"2016, 7, 1",,101187.8713
"2016, 7, 1",,101098.1991
"2016, 7, 1",,101068.2082
"2016, 7, 1",,101136.5084
"2016, 7, 1",,101131.9995
"2016, 7, 1",,101106.7501
"2016, 7, 1",,101109.0549
"2016, 7, 1",,101176.0567
"2016, 7, 1",,101107.8323
"2016, 7, 1",,101092.7118
"2016, 7, 1",,101080.2217
"2016, 7, 1",,101106.0127
"2016, 7, 1",,101120.4626
"2016, 7, 1",,101167.4217
"2016, 7, 1",,101260.1206
"2016, 7, 2",,101362.6403
"2016, 7, 2",,101449.3316
"2016, 7, 2",,101500.9418
"2016, 7, 2",,101501.0594
"2016, 7, 2",,101498.5511
"2016, 7, 2",,101508.3245
"2016, 7, 2",,101527.6643
"2016, 7, 2",,101538.3957
"2016, 7, 2",,101513.3795
"2016, 7, 2",,101509.5393
"2016, 7, 2",,101524.4044
"2016, 7, 2",,101548.1683
"2016, 7, 2",,101560.3314
"2016, 7, 2",,101605.2725
"2016, 7, 2",,101637.6845
"2016, 7, 2",,101674.0119
"2016, 7, 2",,101759.2883
"2016, 7, 2",,101765.5216
"2016, 7, 2",,101750.9831
"2016, 7, 2",,101748.0781
"2016, 7, 2",,101746.8782
"2016, 7, 2",,101753.244
"2016, 7, 2",,101782.7305
"2016, 7, 2",,101824.9421
"2016, 7, 3",,101858.5755
"2016, 7, 3",,101914.5451
"2016, 7, 3",,101938.0636
"2016, 7, 3",,101933.4178
"2016, 7, 3",,101919.0381
"2016, 7, 3",,101903.2958
"2016, 7, 3",,101878.0759
"2016, 7, 3",,101843.8383
"2016, 7, 3",,101807.1703
"2016, 7, 3",,101770.9163
"2016, 7, 3",,101715.3355
"2016, 7, 3",,101686.7537
"2016, 7, 3",,101680.1833
"2016, 7, 3",,101706.8308
"2016, 7, 3",,101720.0473
"2016, 7, 3",,101730.824
"2016, 7, 3",,101758.9885
"2016, 7, 3",,101777.1189
"2016, 7, 3",,101804.8324
"2016, 7, 3",,101791.8875
"2016, 7, 3",,101774.8334
"2016, 7, 3",,101752.5447
"2016, 7, 3",,101754.7271
"2016, 7, 3",,101772.4088
"2016, 7, 4",,101819.196
"2016, 7, 4",,101857.7715
"2016, 7, 4",,101863.672
"2016, 7, 4",,101856.6146
"2016, 7, 4",,101841.9928
"2016, 7, 4",,101807.9478
"2016, 7, 4",,101759.2072
"2016, 7, 4",,101692.8773
"2016, 7, 4",,101634.6991
"2016, 7, 4",,101581.2399
"2016, 7, 4",,101536.7236
"2016, 7, 4",,101468.6437
"2016, 7, 4",,101415.8378
"2016, 7, 4",,101404.9239
"2016, 7, 4",,101427.466
"2016, 7, 4",,101408.2372
"2016, 7, 4",,101385.4069
"2016, 7, 4",,101318.1367
"2016, 7, 4",,101205.6031
"2016, 7, 4",,101078.6875
"2016, 7, 4",,100977.1665
"2016, 7, 4",,100913.9619
