dt,sensor,tmp,hum,press
2016-06-21 18:00:00,sensor_0,33.1861111111,50.9466666667,100643.820028
2016-06-21 18:00:00,sensor_2,32.3904444444,44.7534166667,100908.262667
2016-06-21 18:00:00,sensor_3,34.4542777778,39.5462222222,100817.078528
2016-06-21 18:00:00,sensor_4,35.2603611111,39.3664444444,100740.91825
2016-06-21 19:00:00,sensor_0,33.0334444444,52.1859722222,100671.360222
2016-06-21 19:00:00,sensor_2,30.7898333333,49.7213611111,100932.558444
2016-06-21 19:00:00,sensor_3,33.3057777778,42.8585,100846.006583
2016-06-21 19:00:00,sensor_4,31.6425277778,48.67075,100769.369139
2016-06-21 20:00:00,sensor_0,32.9591388889,46.0856111111,100719.876
2016-06-21 20:00:00,sensor_2,30.1599444444,48.6192777778,100976.82175
2016-06-21 20:00:00,sensor_3,32.5458055556,40.7151944444,100885.05275
2016-06-21 20:00:00,sensor_4,30.3986111111,46.7546666667,100810.683361
2016-06-21 21:00:00,sensor_0,31.8424444444,29.0049166667,100808.461556
2016-06-21 21:00:00,sensor_2,29.1583055556,30.1709166667,101063.410694
2016-06-21 21:00:00,sensor_3,31.8327777778,24.2562222222,100971.492722
2016-06-21 21:00:00,sensor_4,28.6032222222,29.9728888889,100896.012028
2016-06-21 22:00:00,sensor_0,31.2917222222,30.2009722222,100841.640028
2016-06-21 22:00:00,sensor_2,28.6622777778,31.8594444444,101101.599167
2016-06-21 22:00:00,sensor_3,31.4843055556,24.8586944444,101010.255222
2016-06-21 22:00:00,sensor_4,28.2299444444,32.3854722222,100938.165889
2016-06-21 23:00:00,sensor_0,30.9531944444,29.9564166667,100857.308389
2016-06-21 23:00:00,sensor_2,28.2451666667,33.05825,101114.399444
2016-06-21 23:00:00,sensor_3,31.2133333333,24.6674166667,101024.743389
2016-06-21 23:00:00,sensor_4,28.66175,30.1415833333,100949.356833
2016-06-22 00:00:00,sensor_0,30.9718611111,28.2785277778,100881.306694
2016-06-22 00:00:00,sensor_2,27.9134722222,30.3948333333,101143.067
2016-06-22 00:00:00,sensor_3,30.9875,23.5015277778,101055.88225
2016-06-22 00:00:00,sensor_4,28.5831111111,28.024,100976.924472
2016-06-22 01:00:00,sensor_0,31.4736944444,27.3078888889,100870.539306
2016-06-22 01:00:00,sensor_2,28.2115555556,30.9036111111,101135.588611
2016-06-22 01:00:00,sensor_3,31.0375833333,23.3601666667,101046.374306
2016-06-22 01:00:00,sensor_4,28.8264444444,27.972,100968.948028
2016-06-22 02:00:00,sensor_0,30.5856111111,29.4462222222,100848.561667
2016-06-22 02:00:00,sensor_2,26.5173333333,38.9605,101115.800389
2016-06-22 02:00:00,sensor_3,30.4791111111,24.7732222222,101028.50525
2016-06-22 02:00:00,sensor_4,27.3069166667,34.3211111111,100948.651222
2016-06-22 03:00:00,sensor_0,29.4917777778,34.1527777778,100852.867889
2016-06-22 03:00:00,sensor_2,24.6184166667,51.1646388889,101122.055167
2016-06-22 03:00:00,sensor_3,29.7210555556,28.1510555556,101030.852
2016-06-22 03:00:00,sensor_4,26.1449166667,42.0023611111,100955.609306
2016-06-22 04:00:00,sensor_0,28.2791944444,41.8341388889,100856.928
2016-06-22 04:00:00,sensor_2,24.1638055556,51.6295555556,101125.225694
2016-06-22 04:00:00,sensor_3,28.3181944444,35.9056111111,101037.763556
2016-06-22 04:00:00,sensor_4,24.9310555556,47.5541944444,100962.916389
2016-06-22 05:00:00,sensor_0,28.8706944444,38.2186388889,100847.460083
2016-06-22 05:00:00,sensor_2,24.2042222222,55.4204444444,101119.526
2016-06-22 05:00:00,sensor_3,28.4197777778,32.8670277778,101027.912778
2016-06-22 05:00:00,sensor_4,25.4272777778,46.9781111111,100954.900222
2016-06-22 06:00:00,sensor_0,32.4921388889,37.1577222222,100859.247028
2016-06-22 06:00:00,sensor_2,26.0205,49.4078055556,101127.717444
2016-06-22 06:00:00,sensor_3,28.17525,39.1699444444,101039.462972
2016-06-22 06:00:00,sensor_4,25.5261944444,48.9737222222,100968.30975
2016-06-22 07:00:00,sensor_0,39.0058055556,27.4414444444,100864.36875
2016-06-22 07:00:00,sensor_2,33.26675,34.9556944444,101122.240139
2016-06-22 07:00:00,sensor_3,28.1926388889,38.5304444444,101039.050806
2016-06-22 07:00:00,sensor_4,25.9030555556,47.1271388889,100968.127583
2016-06-22 08:00:00,sensor_0,45.6573055556,20.5683888889,100858.319833
2016-06-22 08:00:00,sensor_2,39.4805555556,25.9191388889,101110.271389
2016-06-22 08:00:00,sensor_3,29.0051388889,36.032,101028.450361
2016-06-22 08:00:00,sensor_4,29.0668611111,38.42825,100956.099194
2016-06-22 09:00:00,sensor_0,44.906,20.5246388889,100866.947
2016-06-22 09:00:00,sensor_2,42.1906666667,22.1642222222,101117.765028
2016-06-22 09:00:00,sensor_3,29.4545555556,34.6194722222,101038.229361
2016-06-22 09:00:00,sensor_4,33.2966111111,29.6873055556,100963.650361
2016-06-22 10:00:00,sensor_0,46.3381388889,20.0625555556,100886.880861
2016-06-22 10:00:00,sensor_2,44.4996388889,20.409,101140.357611
2016-06-22 10:00:00,sensor_3,30.5286111111,33.6436666667,101067.070583
2016-06-22 10:00:00,sensor_4,37.4283888889,24.4067777778,100988.100583
2016-06-22 11:00:00,sensor_0,43.0813611111,21.6579444444,100853.111361
2016-06-22 11:00:00,sensor_2,40.93675,24.6093611111,101112.710722
2016-06-22 11:00:00,sensor_3,31.7371944444,30.8735,101038.399028
2016-06-22 11:00:00,sensor_4,35.0149722222,26.6390277778,100964.513306
2016-06-22 12:00:00,sensor_0,40.2523611111,21.8168611111,100848.398056
2016-06-22 12:00:00,sensor_2,33.1580277778,32.6752777778,101105.753944
2016-06-22 12:00:00,sensor_3,32.6158055556,25.5571666667,101031.138222
2016-06-22 12:00:00,sensor_4,33.0578333333,26.233,100954.450306
2016-06-22 13:00:00,sensor_0,39.70875,21.9206388889,100867.624361
2016-06-22 13:00:00,sensor_2,31.4944568245,33.937270195,101130.473092
2016-06-22 13:00:00,sensor_3,34.7506388889,22.61525,101050.580417
2016-06-22 13:00:00,sensor_4,33.0895277778,25.86875,100979.681889
2016-06-22 14:00:00,sensor_0,36.3261111111,23.5676388889,100891.796583
2016-06-22 14:00:00,sensor_2,30.9435277778,30.3161666667,101161.299167
2016-06-22 14:00:00,sensor_3,34.737,20.6436111111,101081.663028
2016-06-22 14:00:00,sensor_4,31.7604166667,25.648,101002.035222
2016-06-22 15:00:00,sensor_0,35.7418055556,24.3049444444,100885.945556
2016-06-22 15:00:00,sensor_2,31.1876111111,29.1608611111,101160.399056
2016-06-22 15:00:00,sensor_3,35.1958611111,20.3331111111,101073.480472
2016-06-22 15:00:00,sensor_4,31.0056111111,27.0043055556,101003.400417
2016-06-22 16:00:00,sensor_0,35.0039444444,25.4398611111,100920.820472
2016-06-22 16:00:00,sensor_2,31.1790277778,30.1609722222,101190.242389
2016-06-22 16:00:00,sensor_3,35.77525,19.8908888889,101103.152528
2016-06-22 16:00:00,sensor_4,32.2658888889,25.73475,101032.389028
2016-06-22 17:00:00,sensor_0,34.7134166667,26.516,100930.011194
2016-06-22 17:00:00,sensor_2,30.7841666667,32.4764722222,101200.717306
2016-06-22 17:00:00,sensor_3,35.3686944444,20.9156666667,101115.015778
2016-06-22 17:00:00,sensor_4,32.0228888889,27.0038888889,101045.394972
2016-06-22 18:00:00,sensor_0,34.4892222222,28.8857222222,100944.82825
2016-06-22 18:00:00,sensor_2,30.7123333333,36.1895833333,101212.903222
2016-06-22 18:00:00,sensor_3,33.9588333333,24.3446666667,101126.428306
2016-06-22 18:00:00,sensor_4,31.39075,30.0298611111,101058.166222
2016-06-22 19:00:00,sensor_0,33.6940277778,30.0135833333,100981.918139
2016-06-22 19:00:00,sensor_2,30.1229166667,37.4266666667,101250.1255
2016-06-22 19:00:00,sensor_3,33.1315277778,25.5930555556,101164.3325
2016-06-22 19:00:00,sensor_4,31.4937222222,29.9761388889,101092.916806
2016-06-22 20:00:00,sensor_0,32.6536666667,31.1502777778,101037.621861
2016-06-22 20:00:00,sensor_2,29.0709166667,37.4846388889,101306.758583
2016-06-22 20:00:00,sensor_3,32.2706388889,26.5114722222,101219.972417
2016-06-22 20:00:00,sensor_4,29.2992222222,33.6026111111,101145.436028
2016-06-22 21:00:00,sensor_0,32.6671666667,30.5123333333,101125.059139
2016-06-22 21:00:00,sensor_2,28.7028888889,37.5053888889,101393.46325
2016-06-22 21:00:00,sensor_3,31.9312222222,26.48275,101306.283278
2016-06-22 21:00:00,sensor_4,29.3545,33.73125,101230.942056
2016-06-22 22:00:00,sensor_0,32.0354722222,31.125,101199.185889
2016-06-22 22:00:00,sensor_2,27.0483055556,44.7982222222,101472.217889
2016-06-22 22:00:00,sensor_3,31.7130555556,26.5550555556,101381.623694
2016-06-22 22:00:00,sensor_4,28.75675,34.7664444444,101309.007
2016-06-22 23:00:00,sensor_0,31.6018611111,34.4376111111,101230.523361
2016-06-22 23:00:00,sensor_2,25.9656666667,47.9823888889,101515.099083
2016-06-22 23:00:00,sensor_3,31.5335,28.7031666667,101419.093667
2016-06-22 23:00:00,sensor_4,28.2939444444,36.8642777778,101349.732583
2016-06-23 00:00:00,sensor_0,30.5959166667,36.1138055556,101199.445194
2016-06-23 00:00:00,sensor_2,25.9175277778,44.2266944444,101480.849944
2016-06-23 00:00:00,sensor_3,30.7635555556,30.6341944444,101388.489194
2016-06-23 00:00:00,sensor_4,27.7003333333,37.6852222222,101317.16325
2016-06-23 01:00:00,sensor_0,30.8241944444,36.05375,101179.524889
2016-06-23 01:00:00,sensor_2,25.7996944444,46.6780833333,101459.859444
2016-06-23 01:00:00,sensor_3,30.2521666667,31.8706944444,101366.056417
2016-06-23 01:00:00,sensor_4,27.5864444444,39.2489722222,101294.247667
2016-06-23 02:00:00,sensor_0,30.5231388889,37.8649444444,101197.654556
2016-06-23 02:00:00,sensor_2,25.7190277778,48.7301944444,101477.755083
2016-06-23 02:00:00,sensor_3,29.7876666667,33.2528333333,101384.277278
2016-06-23 02:00:00,sensor_4,27.3227777778,41.74725,101310.791139
2016-06-23 03:00:00,sensor_0,30.3953055556,39.2073611111,101138.910833
2016-06-23 03:00:00,sensor_2,25.7978333333,49.4888888889,101419.853917
2016-06-23 03:00:00,sensor_3,29.3165,35.3386944444,101329.869472
2016-06-23 03:00:00,sensor_4,27.0454444444,43.3548888889,101256.116417
2016-06-23 04:00:00,sensor_0,29.9964722222,38.8431944444,101106.658528
2016-06-23 04:00:00,sensor_2,25.7271666667,47.3023611111,101380.875056
2016-06-23 04:00:00,sensor_3,29.7027777778,33.6346944444,101289.830889
2016-06-23 04:00:00,sensor_4,27.2020833333,41.4990277778,101216.945833
2016-06-23 05:00:00,sensor_0,29.5453611111,42.7926944444,101113.528889
2016-06-23 05:00:00,sensor_2,25.7550555556,52.5079722222,101388.792583
2016-06-23 05:00:00,sensor_3,29.1175,36.9201388889,101296.406389
2016-06-23 05:00:00,sensor_4,26.3814444444,47.99275,101224.868167
2016-06-23 06:00:00,sensor_0,29.7858888889,45.15675,101139.018611
2016-06-23 06:00:00,sensor_2,25.6843888889,51.3918888889,101408.990306
2016-06-23 06:00:00,sensor_3,28.3858611111,41.2675,101318.452361
2016-06-23 06:00:00,sensor_4,26.3113611111,47.0911944444,101242.314611
2016-06-23 07:00:00,sensor_0,31.1405,39.9379444444,101131.325917
2016-06-23 07:00:00,sensor_2,27.00575,45.0079722222,101403.235278
2016-06-23 07:00:00,sensor_3,28.2875555556,39.44525,101317.957222
2016-06-23 07:00:00,sensor_4,27.1748611111,42.9725555556,101242.343028
2016-06-23 08:00:00,sensor_0,33.7123055556,34.5381666667,101114.768444
2016-06-23 08:00:00,sensor_2,29.8220277778,39.9545277778,101380.433639
2016-06-23 08:00:00,sensor_3,29.1121944444,36.7631944444,101291.752861
2016-06-23 08:00:00,sensor_4,29.3221666667,37.9491944444,101217.178833
2016-06-23 09:00:00,sensor_0,35.5059444444,31.9599444444,101119.632333
2016-06-23 09:00:00,sensor_2,32.5030277778,34.6543611111,101378.428167
2016-06-23 09:00:00,sensor_3,29.9087777778,35.4423611111,101290.230722
2016-06-23 09:00:00,sensor_4,30.9421111111,34.9101388889,101216.070389
2016-06-23 10:00:00,sensor_0,34.0006388889,36.2406944444,101104.649222
2016-06-23 10:00:00,sensor_2,30.7435555556,38.9313055556,101369.01575
2016-06-23 10:00:00,sensor_3,30.4303611111,36.5683055556,101281.217917
2016-06-23 10:00:00,sensor_4,30.4894722222,37.3716388889,101206.947389
2016-06-23 11:00:00,sensor_0,34.7385833333,36.7448611111,101040.787278
2016-06-23 11:00:00,sensor_2,31.2267222222,39.3113055556,101303.2375
2016-06-23 11:00:00,sensor_3,30.8540555556,37.5380833333,101216.573278
2016-06-23 11:00:00,sensor_4,31.4229722222,37.5923333333,101142.690667
2016-06-23 12:00:00,sensor_0,36.1281388889,33.8136944444,100987.725417
2016-06-23 12:00:00,sensor_2,31.1288333333,41.6597222222,101251.553611
2016-06-23 12:00:00,sensor_3,31.4088333333,35.9930555556,101162.021306
2016-06-23 12:00:00,sensor_4,32.26725,35.5576388889,101087.887667
2016-06-23 13:00:00,sensor_0,38.1032069971,33.0624781341,100936.820845
2016-06-23 13:00:00,sensor_2,32.2183888889,41.0193888889,101199.573417
2016-06-23 13:00:00,sensor_3,33.0602222222,35.1078888889,101101.891556
2016-06-23 13:00:00,sensor_4,34.7225,33.25625,101034.438139
2016-06-23 14:00:00,sensor_0,40.7692222222,29.62625,100908.269806
2016-06-23 14:00:00,sensor_2,34.0648888889,37.4512777778,101164.555722
2016-06-23 14:00:00,sensor_3,35.2574927954,31.7668876081,101064.968588
2016-06-23 14:00:00,sensor_4,36.6882890855,31.28,101000.970796
2016-06-23 15:00:00,sensor_0,38.0535555556,32.3040277778,100922.42575
2016-06-23 15:00:00,sensor_2,32.9015277778,39.4869444444,101181.426806
2016-06-23 15:00:00,sensor_3,34.2109444444,32.2426944444,101084.18725
2016-06-23 15:00:00,sensor_4,34.3324166667,33.8835833333,101016.302889
2016-06-23 16:00:00,sensor_0,36.5508888889,34.8076388889,100898.495056
2016-06-23 16:00:00,sensor_2,32.9435,40.3891666667,101159.842778
2016-06-23 16:00:00,sensor_3,34.9698333333,31.0165,101060.646889
2016-06-23 16:00:00,sensor_4,35.6748888889,31.1025555556,100990.569722
2016-06-23 17:00:00,sensor_0,32.6839444444,46.7038611111,100877.841806
2016-06-23 17:00:00,sensor_2,31.804,41.9145277778,101139.463667
2016-06-23 17:00:00,sensor_3,32.8816388889,38.1241388889,101045.466667
2016-06-23 17:00:00,sensor_4,31.0426944444,43.4518888889,100971.353694
2016-06-23 18:00:00,sensor_0,31.9470833333,54.7631111111,100890.359
2016-06-23 18:00:00,sensor_2,30.7823333333,49.6448611111,101148.018306
2016-06-23 18:00:00,sensor_3,31.8671111111,45.9999444444,101055.968194
2016-06-23 18:00:00,sensor_4,29.5454722222,53.4648888889,100981.495556
2016-06-23 19:00:00,sensor_0,30.6709166667,58.5841388889,100924.579056
2016-06-23 19:00:00,sensor_2,29.8770833333,52.6378333333,101180.803833
2016-06-23 19:00:00,sensor_3,30.8409166667,48.9831666667,101093.73475
2016-06-23 19:00:00,sensor_4,28.6898333333,56.7512777778,101017.497472
2016-06-23 20:00:00,sensor_0,28.9362011173,65.296452514,100972.86648
2016-06-23 20:00:00,sensor_2,28.5566388889,56.6993888889,101227.963639
2016-06-23 20:00:00,sensor_3,29.8438611111,52.4352222222,101137.420694
2016-06-23 20:00:00,sensor_4,27.6605,60.598,101062.468278
2016-06-23 21:00:00,sensor_0,29.3806944444,62.9903611111,101035.656972
2016-06-23 21:00:00,sensor_2,27.5149166667,59.4281111111,101289.399833
2016-06-23 21:00:00,sensor_3,29.37625,53.1420833333,101197.294389
2016-06-23 21:00:00,sensor_4,27.2634166667,61.3731666667,101128.336
2016-06-23 22:00:00,sensor_0,29.7576111111,60.4654444444,101089.121806
