dt,,hum
"2016, 6, 28",,86.61522222
"2016, 6, 28",,76.76713889
"2016, 6, 28",,73.57844444
"2016, 6, 28",,72.43283333
"2016, 6, 28",,75.21444444
"2016, 6, 28",,73.75394444
"2016, 6, 29",,74.53905556
"2016, 6, 29",,74.35694444
"2016, 6, 29",,65.92647222
"2016, 6, 29",,53.95052778
"2016, 6, 29",,42.66127778
"2016, 6, 29",,42.76541667
"2016, 6, 29",,41.27258333
"2016, 6, 29",,35.35258333
"2016, 6, 29",,32.30136111
"2016, 6, 29",,32.59234043
"2016, 6, 29",,50.75119403
"2016, 6, 29",,44.12838889
"2016, 6, 29",,45.37677778
"2016, 6, 29",,48.35563889
"2016, 6, 29",,49.54516667
"2016, 6, 29",,51.07183333
"2016, 6, 29",,52.84197222
"2016, 6, 29",,54.00252778
"2016, 6, 29",,55.59461111
"2016, 6, 29",,56.99063889
"2016, 6, 29",,58.64552778
"2016, 6, 30",,54.02325
"2016, 6, 30",,42.77347222
"2016, 6, 30",,36.49738889
"2016, 6, 30",,29.79277778
"2016, 6, 30",,25.26227778
"2016, 6, 30",,23.59827778
"2016, 6, 30",,22.84966667
"2016, 6, 30",,25.87088889
"2016, 6, 30",,28.18519444
"2016, 6, 30",,27.797
"2016, 6, 30",,31.19652778
"2016, 6, 30",,40.62866667
"2016, 6, 30",,46.35483333
"2016, 6, 30",,46.85352778
"2016, 6, 30",,49.76744444
"2016, 6, 30",,53.38222222
"2016, 6, 30",,55.72866667
"2016, 6, 30",,56.04536111
"2016, 6, 30",,53.39677778
"2016, 6, 30",,55.34797222
"2016, 6, 30",,50.98619444
"2016, 6, 30",,50.93247222
"2016, 6, 30",,52.59572222
"2016, 6, 30",,56.21938889
"2016, 7, 1",,54.84333333
"2016, 7, 1",,54.51097222
"2016, 7, 1",,50.00455556
"2016, 7, 1",,40.39672222
"2016, 7, 1",,44.91872222
"2016, 7, 1",,47.54955556
"2016, 7, 1",,49.13822222
"2016, 7, 1",,53.51819444
"2016, 7, 1",,56.44788889
"2016, 7, 1",,64.13525
"2016, 7, 1",,63.94052778
"2016, 7, 1",,64.69002778
"2016, 7, 1",,76.68183333
"2016, 7, 1",,70.11869444
"2016, 7, 1",,77.90958333
"2016, 7, 1",,74.81619444
"2016, 7, 1",,74.56205556
"2016, 7, 1",,69.43302778
"2016, 7, 1",,71.8825
"2016, 7, 1",,71.15433333
"2016, 7, 1",,76.01488889
"2016, 7, 1",,74.78016667
"2016, 7, 1",,71.49891667
"2016, 7, 1",,68.06869444
"2016, 7, 2",,63.59980556
"2016, 7, 2",,48.96030556
"2016, 7, 2",,42.5615
"2016, 7, 2",,40.90591667
"2016, 7, 2",,33.94705556
"2016, 7, 2",,34.35883333
"2016, 7, 2",,32.27730556
"2016, 7, 2",,30.83311111
"2016, 7, 2",,31.16655556
"2016, 7, 2",,32.62444444
"2016, 7, 2",,32.42836111
"2016, 7, 2",,32.35811111
"2016, 7, 2",,33.57283333
"2016, 7, 2",,36.21288889
"2016, 7, 2",,37.94794444
"2016, 7, 2",,39.24797571
"2016, 7, 2",,48.22084656
"2016, 7, 2",,43.53086111
"2016, 7, 2",,44.45458333
"2016, 7, 2",,45.57175
"2016, 7, 2",,45.08047222
"2016, 7, 2",,47.2465
"2016, 7, 2",,48.22766667
"2016, 7, 2",,50.36816667
"2016, 7, 3",,48.29669444
"2016, 7, 3",,33.51402778
"2016, 7, 3",,30.83002778
"2016, 7, 3",,35.42091667
"2016, 7, 3",,29.84755556
"2016, 7, 3",,28.96977778
"2016, 7, 3",,25.82027778
"2016, 7, 3",,23.20555556
"2016, 7, 3",,26.72880556
"2016, 7, 3",,28.733
"2016, 7, 3",,30.61491667
"2016, 7, 3",,34.20361111
"2016, 7, 3",,43.12852778
"2016, 7, 3",,49.60983333
"2016, 7, 3",,51.56616667
"2016, 7, 3",,51.99805556
"2016, 7, 3",,54.20472222
"2016, 7, 3",,54.83263889
"2016, 7, 3",,53.62147222
"2016, 7, 3",,54.88638889
"2016, 7, 3",,56.07675
"2016, 7, 3",,58.11444444
"2016, 7, 3",,59.6585
"2016, 7, 3",,60.33633333
"2016, 7, 4",,55.34483333
"2016, 7, 4",,36.88916667
"2016, 7, 4",,31.90644444
"2016, 7, 4",,27.78036111
"2016, 7, 4",,24.46766667
"2016, 7, 4",,22.55111111
"2016, 7, 4",,25.55411111
"2016, 7, 4",,29.78230556
"2016, 7, 4",,31.63469444
"2016, 7, 4",,34.27938889
"2016, 7, 4",,42.84422222
"2016, 7, 4",,52.23791667
"2016, 7, 4",,62.07275
"2016, 7, 4",,62.22908333
"2016, 7, 4",,63.52108333
"2016, 7, 4",,69.29502778
"2016, 7, 4",,70.37697222
"2016, 7, 4",,72.68008333
"2016, 7, 4",,78.36305556
"2016, 7, 4",,78.96211111
"2016, 7, 4",,79.68947222
"2016, 7, 4",,77.13316667
"2016, 7, 4",,78.24480556
"2016, 7, 4",,76.75688889
"2016, 7, 5",,74.63816667
"2016, 7, 5",,73.80972222
"2016, 7, 5",,69.52516667
"2016, 7, 5",,51.28033333
"2016, 7, 5",,50.88052778
"2016, 7, 5",,54.02991667
"2016, 7, 5",,49.55030556
"2016, 7, 5",,41.32005556
"2016, 7, 5",,38.95838889
"2016, 7, 5",,42.42558824
"2016, 7, 5",,51.86164179
"2016, 7, 5",,50.39845714
"2016, 7, 5",,51.25255556
"2016, 7, 5",,51.35944444
"2016, 7, 5",,52.29713889
"2016, 7, 5",,54.03975
"2016, 7, 5",,55.7255
"2016, 7, 5",,56.30333333
"2016, 7, 5",,58.10363889
"2016, 7, 5",,59.71241667
"2016, 7, 5",,60.80438889
"2016, 7, 5",,64.73461111
"2016, 7, 6",,58.55072222
"2016, 7, 6",,41.25186111
"2016, 7, 6",,32.77072222
"2016, 7, 6",,28.66197222
"2016, 7, 6",,26.10641667
"2016, 7, 6",,24.32613889
"2016, 7, 6",,25.79711111
"2016, 7, 6",,28.62408333
"2016, 7, 6",,28.80972222
"2016, 7, 6",,34.02986111
"2016, 7, 6",,35.59052778
"2016, 7, 6",,39.59722222
"2016, 7, 6",,44.01225
"2016, 7, 6",,50.02316667
"2016, 7, 6",,52.55886111
"2016, 7, 6",,54.60822222
"2016, 7, 6",,58.23808333
"2016, 7, 6",,60.14519444
"2016, 7, 6",,61.32686111
"2016, 7, 6",,62.67897222
"2016, 7, 6",,59.98733333
"2016, 7, 6",,60.00519444
"2016, 7, 6",,60.47372222
"2016, 7, 6",,62.56247222
"2016, 7, 7",,56.42088889
"2016, 7, 7",,40.70338889
"2016, 7, 7",,33.91230556
"2016, 7, 7",,32.75086111
"2016, 7, 7",,37.90072222
"2016, 7, 7",,34.40125
"2016, 7, 7",,37.83427778
"2016, 7, 7",,37.80338889
"2016, 7, 7",,45.41083565
"2016, 7, 7",,42.79077778
"2016, 7, 7",,55.09038889
"2016, 7, 7",,55.24711111
"2016, 7, 7",,57.32513725
"2016, 7, 7",,69.00850174
"2016, 7, 8",,39.15844828
"2016, 7, 8",,43.6995
"2016, 7, 8",,51.48330556
"2016, 7, 8",,56.61472222
"2016, 7, 8",,60.59863889
"2016, 7, 8",,64.74472222
"2016, 7, 8",,71.4193956
"2016, 7, 9",,89.55840909
"2016, 7, 9",,79.22380282
"2016, 7, 9",,83.3439661
"2016, 7, 9",,87.39244444
"2016, 7, 9",,92.34454545
"2016, 7, 9",,93.65310954
"2016, 7, 9",,86.71333333
"2016, 7, 10",,38.93819672
"2016, 7, 10",,30.82894444
"2016, 7, 10",,28.69836111
"2016, 7, 10",,31.53622517
"2016, 7, 11",,33.70416667
"2016, 7, 11",,37.41597222
"2016, 7, 11",,36.00255556
