dt,sensor,tmp,hum,press
"2016, 24, 6",sensor_0,27.71119444,63.13344444,101931.1648
"2016, 24, 6",sensor_0,26.92369444,64.82622222,101923.8115
"2016, 25, 6",sensor_0,26.8555,64.18711111,101934.2216
"2016, 25, 6",sensor_0,26.36113889,65.93694444,101961.1782
"2016, 25, 6",sensor_0,25.22536111,67.81022222,101957.6418
"2016, 25, 6",sensor_0,24.47488889,67.86922222,101979.5553
"2016, 25, 6",sensor_0,24.69636111,72.38830556,102010.6006
"2016, 25, 6",sensor_0,24.87272222,70.94838889,102070.8955
"2016, 25, 6",sensor_0,28.45530556,59.05230556,102133.5856
"2016, 25, 6",sensor_0,33.01008333,45.10436111,102176.5235
"2016, 25, 6",sensor_0,37.90933333,34.39341667,102193.1428
"2016, 25, 6",sensor_0,42.32383333,27.43344444,102195.3933
"2016, 25, 6",sensor_0,41.15311111,28.89708333,102187.1839
"2016, 25, 6",sensor_0,42.32425,28.39883333,102211.3642
"2016, 25, 6",sensor_0,42.39458333,30.05755556,102211.6871
"2016, 25, 6",sensor_0,40.92716667,28.87205556,102196.8521
"2016, 25, 6",sensor_0,37.53861111,27.66161111,102153.3172
"2016, 25, 6",sensor_0,35.08158333,29.90219444,102118.6304
"2016, 25, 6",sensor_0,33.65591667,31.85352778,102122.3064
"2016, 25, 6",sensor_0,31.96583333,33.70238889,102132.0326
"2016, 25, 6",sensor_0,30.44052778,35.65111111,102107.1779
"2016, 25, 6",sensor_0,29.53883333,38.11719444,102118.3281
"2016, 25, 6",sensor_0,28.34527778,46.93266667,102169.9268
"2016, 25, 6",sensor_0,27.60711111,53.20638889,102199.6714
"2016, 25, 6",sensor_0,27.16919444,57.97072222,102219.7497
"2016, 25, 6",sensor_0,26.74977778,61.93697222,102230.3543
"2016, 26, 6",sensor_0,26.89883333,63.24747222,102250.8713
"2016, 26, 6",sensor_0,26.39063889,66.53261111,102275.3448
"2016, 26, 6",sensor_0,26.95027778,62.81519444,102297.2146
"2016, 26, 6",sensor_0,26.80705556,60.85441667,102346.8247
"2016, 26, 6",sensor_0,26.70494444,63.91966667,102344.4501
"2016, 26, 6",sensor_0,26.59238889,64.04561111,102316.9295
"2016, 26, 6",sensor_0,30.20427778,54.7515,102307.2389
"2016, 26, 6",sensor_0,37.10672222,37.22613889,102310.5168
"2016, 26, 6",sensor_0,41.58061111,29.17658333,102322.861
"2016, 26, 6",sensor_0,45.10005556,22.83352778,102306.7057
"2016, 26, 6",sensor_0,43.83975,23.35338889,102279.9871
"2016, 26, 6",sensor_0,43.24586111,25.062,102263.2741
"2016, 26, 6",sensor_0,41.21388889,28.26252778,102268.0631
"2016, 26, 6",sensor_0,39.85833333,30.97169444,102232.6163
"2016, 26, 6",sensor_0,36.15063889,35.92694444,102185.8112
"2016, 26, 6",sensor_0,33.79963889,37.89616667,102126.8052
"2016, 26, 6",sensor_0,32.85547222,37.75675,102088.9358
"2016, 26, 6",sensor_0,31.60025,38.17788889,102036.3281
"2016, 26, 6",sensor_0,30.82991667,34.98036111,102014.0639
"2016, 26, 6",sensor_0,31.09186111,36.44572222,101985.1254
"2016, 26, 6",sensor_0,30.26861111,38.75075,101946.6126
"2016, 26, 6",sensor_0,29.62941667,38.58747222,101947.7501
"2016, 26, 6",sensor_0,29.40102778,38.66138889,101961.3318
"2016, 26, 6",sensor_0,28.79311111,40.51108333,101979.943
"2016, 27, 6",sensor_0,27.94919444,43.5495,101975.5366
"2016, 27, 6",sensor_0,27.03780556,45.37566667,101992.1406
"2016, 27, 6",sensor_0,26.26913889,52.30375,101963.4136
"2016, 27, 6",sensor_0,25.80786111,55.32705556,101942.0124
"2016, 27, 6",sensor_0,25.36486111,61.02566667,101938.5738
"2016, 27, 6",sensor_0,25.16991667,67.60983333,101952.6381
"2016, 27, 6",sensor_0,27.08847222,65.12891667,101947.5805
"2016, 27, 6",sensor_0,31.08094444,51.37408333,101917.5679
"2016, 27, 6",sensor_0,36.70502778,39.10377778,101912.5488
"2016, 27, 6",sensor_0,39.08233333,34.75436111,101897.8851
"2016, 27, 6",sensor_0,40.01216901,32.14876056,101848.6447
"2016, 27, 6",sensor_0,39.53263889,35.39713889,101805.6759
"2016, 27, 6",sensor_0,38.48405556,39.29152778,101751.626
"2016, 27, 6",sensor_0,37.95952778,41.53108333,101675.5669
"2016, 27, 6",sensor_0,34.65736111,50.34147222,101592.4958
"2016, 27, 6",sensor_0,32.90363889,54.42005556,101541.9926
"2016, 27, 6",sensor_0,32.69988889,56.04847222,101505.4569
"2016, 27, 6",sensor_0,32.07044444,57.28547222,101478.2313
"2016, 27, 6",sensor_0,30.31916667,64.07266667,101472.7443
"2016, 27, 6",sensor_0,29.60044444,66.47480556,101506.2241
"2016, 27, 6",sensor_0,28.72766667,73.32608333,101532.185
"2016, 27, 6",sensor_0,28.02461111,80.60716667,101579.4609
"2016, 27, 6",sensor_0,27.44289474,88.61142105,101610.4014
"2016, 27, 6",sensor_0,26.2165343,97.55877256,101574.4556
"2016, 28, 6",sensor_0,28.80144444,85.47869444,101564.5804
"2016, 28, 6",sensor_0,28.47602778,85.0155,101534.2481
"2016, 28, 6",sensor_0,29.661,79.72833333,101510.2892
"2016, 28, 6",sensor_0,29.15305556,79.02566667,101477.2218
"2016, 28, 6",sensor_0,29.91986111,73.95652778,101472.0215
"2016, 28, 6",sensor_0,30.34719444,72.22130556,101496.1392
"2016, 28, 6",sensor_0,29.906,75.48713889,101488.7196
"2016, 28, 6",sensor_0,28.84283333,73.67991667,101516.2102
"2016, 28, 6",sensor_0,30.07444444,68.95905556,101523.9581
"2016, 28, 6",sensor_0,30.45558333,70.21338889,101517.2461
"2016, 28, 6",sensor_0,31.30922222,68.13988889,101492.7697
"2016, 28, 6",sensor_0,31.34761111,68.15447222,101480.8176
"2016, 28, 6",sensor_0,31.00208333,69.46475,101464.0397
"2016, 28, 6",sensor_0,32.37075,65.07475,101414.9803
"2016, 28, 6",sensor_0,35.89991667,55.04516667,101318.9895
"2016, 28, 6",sensor_0,35.138,56.44072222,101270.7699
"2016, 28, 6",sensor_0,33.66263889,60.83588889,101208.5602
"2016, 28, 6",sensor_0,30.41658333,73.61586111,101208.2999
"2016, 28, 6",sensor_0,29.31494444,86.61522222,101217.7604
"2016, 28, 6",sensor_0,29.64558333,76.76713889,101218.3601
"2016, 28, 6",sensor_0,29.98311111,73.57844444,101190.9583
"2016, 28, 6",sensor_0,30.32955556,72.43283333,101128.8234
"2016, 28, 6",sensor_0,29.42944444,75.21444444,101137.6265
"2016, 28, 6",sensor_0,29.70475,73.75394444,101148.6149
"2016, 29, 6",sensor_0,29.02172222,74.53905556,101126.7182
"2016, 29, 6",sensor_0,28.80447222,74.35694444,101144.205
"2016, 29, 6",sensor_0,31.29044444,65.92647222,101189.1483
"2016, 29, 6",sensor_0,35.24247222,53.95052778,101219.1493
"2016, 29, 6",sensor_0,39.87508333,42.66127778,101238.0405
"2016, 29, 6",sensor_0,39.33819444,42.76541667,101232.2018
"2016, 29, 6",sensor_0,39.49322222,41.27258333,101205.5476
"2016, 29, 6",sensor_0,43.407,35.35258333,101191.9993
"2016, 29, 6",sensor_0,44.499,32.30136111,101139.3653
"2016, 29, 6",sensor_0,43.14489362,32.59234043,101110.0632
"2016, 29, 6",sensor_0,30.21985075,50.75119403,101133.2857
"2016, 29, 6",sensor_0,32.50077778,44.12838889,101157.655
